ROTT,ROTT_min,ROTT_mean,ROTT_dev,ROTT_ROTT_mean,ROTT_ROTT_max,ROTT_ROTT_min,ROTT_min_mean,ROTT_ROTT_mean_dev,ROTT_ROTT_mean_dev2,IAT,IATmin,IATmax,IATmean,IAT与最小值比,IAT与最大值比,IAT与平均值比,IAT最小比平均,临近IAT比值,Numrec,Numloss,丢包类别
0.00383,0.0038,0.003806,0.000024,1.006184,0.922892,1.007895,0.998302482,1.012445,1.009304,0.00121,0.0008,0.0016,0.0015689,1.5125,0.75625,0.7712379,0.5099094,0.75625,65,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,15,1,1
0.00383,0.0038,0.00381,0.00002,1.0053,0.901176,1.007895,0.997425673,1.010657,1.007971,0.00131,0.0008,0.0016,0.0015629,1.6375,0.81875,0.8381633,0.5118555,0.81875,52,2,-1
0.00384,0.0038,0.003801,0.000039,1.010204,1,1.010526,0.999681122,1.020619,1.015385,0.00138,0.00138,0.0016,0.0015931,1,0.8625,0.866222,0.866222,0.8625,33,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,26,1,1
0.00383,0.0038,0.003818,0.000012,1.00313,0.856823,1.007895,0.995272774,1.00628,1.004703,0.00153,0.0008,0.0016,0.0015582,1.9125,0.95625,0.9818707,0.5133964,0.95625,41,1,-1
0.0038,0.0038,0.0038,0,1,1,1,1,1,1,0.0016,0.0016,0.0016,0.0016,1,1,1,1,1,29,1,1
0.0038,0.0038,0.003822,-0.000022,0.994353,0.827887,1,0.994353395,0.98877,0.991554,0.0016,0.0008,0.0016,0.0015568,2,1,1.0277778,0.5138889,1,38,1,-1
0.0038,0.0038,0.0038,0,0.999937,0.992167,1,0.999936846,0.999874,0.999905,0.0016,0.00157,0.0016,0.0015998,1.0191083,1,1.0001512,0.9813984,1,125,1,-1
0.0038,0.0038,0.0038,0,0.999937,0.992167,1,0.999936846,0.999874,0.999905,0.0016,0.00157,0.0016,0.0015998,1.0191083,1,1.0001512,0.9813984,1,125,1,1
